Epoch	Train PPL	Valid PPL
1	1.23	611.54
2	1.21	465.33
3	1.20	421.67
4	1.20	351.57
5	1.19	319.65
6	1.19	292.88
7	1.18	263.15
8	1.18	241.18
9	1.18	221.22
10	1.18	206.76
11	1.17	192.67
12	1.17	184.62
13	1.17	170.34
14	1.17	162.04
15	1.17	153.26
16	1.16	146.00
17	1.16	142.84
18	1.16	135.08
19	1.16	129.30
20	1.16	125.15
21	1.16	120.19
22	1.16	115.56
23	1.15	110.11
24	1.15	108.12
25	1.15	104.64
26	1.15	103.36
27	1.15	99.17
28	1.15	96.64
29	1.15	92.24
30	1.15	92.06
31	1.15	89.86
32	1.15	87.03
33	1.15	85.42
34	1.15	84.25
35	1.14	83.01
36	1.14	81.28
37	1.14	87.42
38	1.14	78.43
39	1.14	77.21
40	1.14	76.13
