Epoch	Train PPL	Valid PPL
1	1.23	542.56
2	1.20	480.85
3	1.20	533.95
4	1.20	431.41
5	1.19	317.97
6	1.18	291.33
7	1.18	278.66
8	1.17	232.06
9	1.17	221.34
10	1.17	188.27
11	1.16	165.05
12	1.16	139.07
13	1.15	125.54
14	1.15	102.34
15	1.14	90.24
16	1.13	76.17
17	1.13	69.06
18	1.12	61.01
19	1.12	51.98
20	1.11	45.60
21	1.11	39.55
22	1.10	34.59
23	1.10	33.34
24	1.09	27.17
25	1.09	26.17
26	1.08	21.30
27	1.08	19.63
28	1.07	18.11
29	1.07	15.48
30	1.07	13.91
31	1.06	13.41
32	1.06	12.11
33	1.06	10.93
34	1.05	10.00
35	1.05	9.18
36	1.05	9.31
37	1.04	8.50
38	1.04	7.92
39	1.04	7.76
40	1.04	7.32
